,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,prior_tag_liberal_sum,prior_tag_republican_sum,prior_tag_foreign_sum,prior_tag_policy_sum,prior_tag_mexico_sum,prior_tag_china_sum,prior_tag_russia_sum,prior_tag_obama_sum,prior_tag_taxes_sum,prior_tag_media_sum,is_weekend,delta
70,4,0.02602238531315624,1.2510715526163121e-05,1079.5,49192.333333333336,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,0.6449099999999959
71,1,0.03560487973847719,0.0,1278.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.24940999999999747
72,2,0.04568395358403152,0.00054795040572043,621.0,478242.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,-0.022399999999997533
73,1,0.04111461107142084,0.0,1402.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.012929999999997221
74,5,0.04081531034184148,0.0004690259802988664,1002.6,23496.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,True,0.0157299999999978
75,2,0.035170541880452905,9.958270681081903e-05,920.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.4602999999999966
76,3,0.042418977722933036,8.826647223568114e-06,950.0,551691.0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,0.6359500000000011
77,5,0.053956939663570826,0.0027237387286906363,831.2,49714.2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,False,0.1309100000000072
78,6,0.03592240191090616,0.0001728594045960144,963.6666666666666,232478.66666666666,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False,-0.19996000000000436
79,4,0.06527786798294039,0.00045589893947839064,694.25,225190.91666666666,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,False,-0.17332999999999998
80,3,0.02757481616187858,0.00030944104428610655,915.0,386623.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.038129999999995334
81,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,0.10755999999999233
82,5,0.05958574181117533,0.0009008760964366921,776.6,1225.3000000000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,True,0.289350000000006
83,8,0.03598712411508735,0.00014401956692430433,823.375,172267.4107142857,0,0,0,0,0,0,0,2,2,1,0,0,1,1,1,0,0,0,0,1,2,False,0.07193000000000183
84,7,0.03460901474313178,0.00018595556951591123,726.1428571428571,157264.14285714287,1,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,1,2,0,False,0.2184999999999988
85,4,0.036857829447294925,3.9928663658450563e-05,822.25,182488.91666666666,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,False,0.10437999999999903
86,4,0.032200536901127924,0.00019934820986962509,847.5,291449.6666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.13007999999999953
87,5,0.04111623476434803,0.00013969450456430765,779.8,65686.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,False,-0.012260000000004823
88,10,0.029755255352774353,0.00015114385445781433,747.6,220470.7111111111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,True,-0.248269999999998
89,7,0.034513912728824724,0.00012428750372210837,974.4285714285714,23720.95238095238,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,True,0.1280000000000001
90,7,0.025295976025014152,5.222666213049814e-05,936.7142857142857,31941.23809523809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,-0.337530000000001
91,5,0.03452566517286917,0.00048686823645856134,934.4,93948.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False,0.5629100000000022
92,9,0.03308575023032385,0.00012215042987653044,944.8888888888889,107220.61111111111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,False,0.1535599999999988
93,12,0.033929544355682566,7.261294489205929e-05,926.1666666666666,51988.69696969697,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,False,-0.18599999999999994
94,4,0.03602703989954753,0.0004688827726949154,1056.0,139180.66666666666,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,False,0.04198000000000235
95,5,0.034135437639366974,0.00018409482928114586,674.0,225371.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,True,-0.00902000000000669
96,5,0.037547357710376476,0.00033151325635009975,729.4,550.3000000000001,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.11466999999998961
97,2,0.020620900175358836,3.445234360220944e-06,1199.5,1860.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0.12171999999999628
98,4,0.03183723560866836,0.000103227972134648,722.75,250236.25,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,False,0.38813000000000386
99,4,0.03700193219458336,0.000361161008811274,733.75,411790.25,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,False,0.04671999999999343
100,10,0.03022071399190318,0.00010477745665601753,818.7,38343.566666666666,1,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1,0,1,False,-0.09329999999999927
101,10,0.03224112922430776,3.571188492831811e-05,983.8,194849.73333333334,0,0,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,False,-0.15708000000000055
102,1,0.029976077590872677,0.0,1359.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,-0.04317000000000348
103,6,0.04011152966306567,0.00018085271154612867,893.0,91111.6,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,2,True,0.03251000000000914
104,10,0.03321047390184235,0.00015717348466103663,1023.1,99037.87777777777,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,3,False,-0.23534000000000788
