,tweet_count,rt_avg,rt_var,time_avg,time_var,tag_obama_sum,tag_criminal_sum,tag_thanks_sum,tag_america_sum,tag_china_sum,tag_money_sum,tag_president_sum,tag_democrat_sum,tag_trump_sum,tag_vote_sum,tag_jobs_sum,is_weekend,prev_day_approval,approve_estimate
764,9,10300.555555555555,13405533.52777778,12:43:20.555555,274403.6675771605,0,0,0,0,0,0,0,0,0,1,0,False,42.25564,39.45935
765,26,10984.461538461539,37336759.61846154,11:38:27.423077,141878.1758482906,1,0,1,2,0,1,0,0,0,1,0,False,42.235,39.06307
766,9,18237.444444444445,204292875.7777778,12:37:02.555555,196266.22972993826,0,0,0,2,0,0,0,0,0,0,0,False,42.27412,38.851890000000004
767,5,11337.8,3882233.700000001,16:43:09.200000,63226.930611111115,0,0,0,0,0,0,0,0,0,0,0,False,41.958079999999995,38.90175
768,15,14716.6,157266118.39999995,12:18:29.200000,663.7831428571428,0,0,0,1,0,0,0,0,3,0,0,True,41.960229999999996,38.79023
769,3,11566.0,17484343.0,22:54:30.666667,155.8212037037037,0,0,0,0,0,0,0,0,0,0,0,True,42.26125,38.79293
770,14,19816.214285714286,50274975.41208791,14:13:25.214286,136774.68368284494,1,0,0,1,0,0,0,0,0,1,0,False,42.13333,38.85391
771,13,16365.461538461539,27409367.102564108,12:15:41.307693,171644.4369622507,1,0,0,0,1,1,0,0,0,1,0,False,41.49785,38.48572
772,3,17622.333333333332,7244830.333333334,11:53:06,1445.9433333333334,0,0,0,0,0,0,0,0,0,0,0,False,41.81863,38.20712
773,5,15493.2,35620728.2,15:28:08,49089.11597222222,0,0,0,1,0,0,0,0,1,0,0,False,41.93483,38.1081
774,2,27942.0,151066962.0,18:19:04,572.3472222222222,0,0,0,1,0,0,0,0,0,0,0,False,41.76988,38.718090000000004
775,11,8508.90909090909,37687891.69090909,08:54:02.727273,49660.29867171717,0,0,0,0,0,0,0,0,0,0,0,True,41.76654,38.75933
776,3,20143.666666666668,59085712.33333333,12:47:39.333333,411828.86787037033,0,0,0,0,0,0,0,0,0,0,0,True,41.76654,38.76101
